red herring,frog
red flag,jumper
white elephant,tiger
black sheep,cow
dark horse,fur
cold turkey,chicken
cold shoulder,arm
hot potato,carrot
yellow belly,ball
green thumb,leaf
blue blood,vein
silver bullet,key
black market,carpet
white lie,paper
red tape,sign
ivory tower,piano
glass ceiling,wall
paper tiger,crane
cash cow,point
lame duck,swan
dead letter,language
loose cannon,knot
big cheese,omelette
couch potato,dweller
bad apple,pear
rotten egg,fruit
dark web,alley
blind alley,man
sore thumb,finger
wet blanket,rug
blue moon,sky
green room,paint
black ice,floor
white noise,dress
red line ,mark
gray area,patch
dark art,colour
black box ,case
white collar,shirt
hot dog,meal
smart cookie,kid
tough cookie,situation
bad egg,milk
small fry,fish
big shot,house
hard nut,shell
cold heart,stomach
lone wolf,bison
dirty dog,cat
lucky dog,charm
top dog,position
fat cat,rabbit
scaredy cat,dog
green light,glow
black hole,sheet
golden boy,bracelet
golden girl,necklace
cold case,day
hot mess,pie
gray market,cardigan
dirty laundry,jeans
open secret,packet
closed book,bag
blank slate,paper
sore point,leg
missing link,button
hot seat,day
long shot,journey
red carpet,rug
blue chip,shoe
yellow card,bowl
red card,bird
gray matter,substance
straight shooter,line
dark matter,hair
black swan,crow
golden parachute,coat
poison pill,apple
silver spoon,cup
empty suit,shell
brown study,desk
rotten tomato,parsnip
red meat,blood
green card,ticket
dead end,bat
white knight,horse
bitter end,fight
blind date,woman
blood feud,relative
blood bath,oath
chilling effect,wind
cloudy judgment,view
crying shame,child
dry humor,straw
final straw,act
golden goose,trophy
hanging judge,swing
melting pot,icecream
second nature,chance
secret sauce,plan
slippery slope,path
true colors,fact
vicious circle,attack
wild card,goat
bad blood,feeling
cold comfort,air
hidden gem,jewel
humble pie,servant